"","imdb_title_id","title","original_title","year","date_published","genre","duration","country","language","director","writer","production_company","actors","description","avg_vote","votes","budget","usa_gross_income","worlwide_gross_income","metascore","reviews_from_users","reviews_from_critics"
"37913","tt0244244","Codice: Swordfish","Swordfish","2001","2001-09-28","Action",99,"USA","English, German","Dominic Sena","Skip Woods","Hollywood Licensing Group","John Travolta, Hugh Jackman, Halle Berry, Don Cheadle, Sam Shepard, Vinnie Jones, Drea de Matteo, Rudolf Martin, Zach Grenier, Camryn Grimes, Angelo Pagán, Chic Daniel, Kirk B.R. Woller, Carmen Argenziano, Tim DeKay","A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help him.","6,5",174509,"$ 102000000","$ 69772969","$ 147080413",32,556,164
"37921","tt0244479","Dark Blue World","Tmavomodrý svet","2001","2002-09-27","War",112,"Czech Republic, UK, Germany, Denmark, Italy, France, USA","Czech, German, English, Slovak","Jan Sverák","Zdenek Sverák, Zdenek Sverák","Biograf Jan Sverak","Ondrej Vetchý, Krystof Hádek, Tara Fitzgerald, Charles Dance, Oldrich Kaiser, David Novotný, Linda Rybová, Jaromír Dulava, Lukás Kantor, Radim Fiala, Juraj Bernáth, Miroslav Táborský, Hans-Jörg Assmann, Thure Riefenstein, Anna Massey","The friendship of two men becomes tested when they both fall for the same woman.","7,2",5464,"$ 5000000","$ 258771","$ 2381183",56,88,49
"38002","tt0245803","Il monaco","Bulletproof Monk","2003","2003-08-14","Action",104,"USA, Canada","English, Tibetan, Punjabi, German","Paul Hunter","Ethan Reiff, Cyrus Voris","Metro-Goldwyn-Mayer (MGM)","Yun-Fat Chow, Seann William Scott, Jaime King, Karel Roden, Victoria Smurfit, Marcus Jean Pirae, Mako, Roger Yuan, K.C. Collins, Sean Bell, Kishaya Dudley, Rob Archer, Mauricio Rodas, Bayo Akinfemi, Russell Yuen","Based on the very underground comic book, a Tibetan monk becomes a mentor to a young street kid who he can teach to protect a scroll.","5,5",47286,"$ 52000000","$ 23358708","$ 37713879",40,188,139
"38065","tt0246460","La morte può attendere","Die Another Day","2002","2003-02-28","Action",133,"UK, USA","English, Korean, Cantonese, Spanish, German, Icelandic, Italian, Arabic","Lee Tamahori","Ian Fleming, Neal Purvis","Eon Productions","Pierce Brosnan, Halle Berry, Toby Stephens, Rosamund Pike, Rick Yune, Judi Dench, John Cleese, Michael Madsen, Will Yun Lee, Kenneth Tsang, Emilio Echevarría, Michael Gor, Lawrence Makoare, Colin Salmon, Samantha Bond","James Bond is sent to investigate the connection between a North Korean terrorist and a diamond mogul, who is funding the development of an international space weapon.","6,1",201580,"$ 142000000","$ 160942139","$ 431971116",56,1212,130
"38070","tt0246514","Solo per il successo","Viktor Vogel - Commercial Man","2001","2002-06-14","Comedy",108,"Germany","German","Lars Kraume","Lars Kraume, Thomas Schlesinger","Deutsche Columbia TriStar Filmproduktion","Alexander Scheer, Götz George, Chulpan Khamatova, Maria Schrader, Vadim Glowna, Nele Mueller-Stöfen, Heinz-Werner Kraehkamp, Steffen Münster, Andreas Schmidt, Guntram Brattia, Hans Löw, Julien Lambroschini, Samuel Weiss, Ellen Schlootz, Hendrick Haese","Viktor Vogel gets a huge career boost when he sneaks into a high-powered ad agency meeting and becomes veteran ad man Eddie Kaminsky's new partner on a big campaign. Can he hold on to his integrity in the cutthroat world of advertising?","5,8",706,"$ 12000000","","$ 32933",NA,16,13
"38105","tt0246894","Rollerball","Rollerball","2002","2002-03-29","Action",98,"USA, Germany, Japan","English, Russian, French, Arabic, Korean, German, Japanese","John McTiernan","William Harrison, William Harrison","Atlas Entertainment","Chris Klein, Jean Reno, LL Cool J, Rebecca Romijn, Naveen Andrews, Oleg Taktarov, David Hemblen, Janet Wright, Andrew Bryniarski, Kata Dobó, Alice Poon, Lucia Rijker, Melissa R. Stubbs, Paul Wu, Yolanda Hughes-Heying","The big thing in 2005 is a violent sport which can have some pretty serious consequences... like dying.","3,1",25432,"$ 70000000","$ 18990798","$ 25852764",14,297,156
"38139","tt0247745","Super Troopers","Super Troopers","2001","2003-08-08","Comedy",100,"USA","English, German, French","Jay Chandrasekhar","Jay Chandrasekhar, Kevin Heffernan","Fox Searchlight Pictures","André Vippolis, Joey Kern, Geoffrey Arend, Erik Stolhanske, Jay Chandrasekhar, Steve Lemme, Kevin Heffernan, Paul Soter, Camille Hickman, Marisa Coughlan, Aria Alpert Adjani, Daniel von Bargen, James Grace, Michael Weaver, Dan Fey","Five Vermont state troopers, avid pranksters with a knack for screwing up, try to save their jobs and out-do the local police department by solving a crime.","7,1",94874,"$ 3000000","$ 18492362","$ 23182223",48,354,106
"38200","tt0248845","Hedwig - La diva con qualcosa in più","Hedwig and the Angry Inch","2001","2001-11-16","Comedy",95,"USA","English, German","John Cameron Mitchell","John Cameron Mitchell, Stephen Trask","Killer Films","John Cameron Mitchell, Miriam Shor, Stephen Trask, Theodore Liscinski, Rob Campbell, Michael Aronov, Andrea Martin, Ben Mayer-Goodman, Alberta Watson, Gene Pyrz, Michael Pitt, Karen Hines, Max Toulch, Maurice Dean Wint, Ermes Blarasin","A transgender punk-rock girl from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.","7,7",31483,"$ 6000000","$ 3067312","$ 3644200",85,237,118
"38319","tt0251114","Sotto corte marziale","Hart's War","2002","2002-05-31","Drama",125,"USA","English, German","Gregory Hoblit","John Katzenbach, Billy Ray","Cheyenne Enterprises","Bruce Willis, Colin Farrell, Terrence Howard, Cole Hauser, Marcel Iures, Linus Roache, Vicellous Shannon, Maury Sterling, Sam Jaeger, Scott Michael Campbell, Rory Cochrane, Sebastian Tillinger, Rick Ravanello, Adrian Grenier, Michael Weston","A law student becomes a lieutenant during World War II, is captured and asked to defend a black prisoner of war falsely accused of murder.","6,3",50267,"$ 70000000","$ 19077641","$ 32287044",49,202,115
"38342","tt0251447","Der Tunnel","Der Tunnel","2001","2001-01-21","Drama",150,"Germany","German","Roland Suso Richter","Johannes W. Betz","Sat.1","Heino Ferch, Nicolette Krebitz, Sebastian Koch, Alexandra Maria Lara, Claudia Michelsen, Felix Eitner, Mehmet Kurtulus, Heinrich Schmieder, Uwe Kockisch, Karin Baal, Dorothea Moritz, Wolf-Dietrich Sprenger, Florian Panzner, Sarah Kubel, Ruth Glöss","During the Cold War, Germany was divided into two states - East and West. This epic story tells about their dramatic connections.","7,7",5939,"$ 7100000","$ 46296","$ 115112",72,27,22
"38377","tt0252223","All the Queen's Men","All the Queen's Men","2001","2001-12-13","Action",99,"Germany, Austria, USA","English, German, Italian","Stefan Ruzowitzky","Digby Wolfe, Joseph Manduke","Atlantic Streamline","Matt LeBlanc, Eddie Izzard, James Cosmo, Nicolette Krebitz, David Birkin, Edward Fox, Udo Kier, Oliver Korittke, Karl Markovics, Sissi Perlinger, Holger Speckhahn, Pip Torrens, Maria Petz, Heinrich Herki, Paul Williamson","A mismatched team of British Special Services agents led by an American must infiltrate, in disguise, a female-run Enigma factory in Berlin and bring back the decoding device that will end the war.","4,8",2439,"$ 15000000","$ 23662","$ 121258",19,39,20
"38404","tt0252480","La zona grigia","The Grey Zone","2001","2005-02-25","Drama",108,"USA","English, German","Tim Blake Nelson","Miklos Nyiszli, Tim Blake Nelson","Killer Films","David Arquette, Velizar Binev, David Chandler, Michael Stuhlbarg, George Zlatarev, Dimitar Ivanov, Daniel Benzali, Allan Corduner, Steve Buscemi, Harvey Keitel, Henry Stram, Kamelia Grigorova, Lisa Benavides-Nelson, Shirly Brener, Mira Sorvino","A Nazi doctor, along with the Sonderkommando, Jews who are forced to work in the crematoria of Auschwitz against their fellow Jews, find themselves in a moral grey zone.","7",10154,"$ 5000000","$ 517872","$ 621592",58,101,54
"38462","tt0253474","Il pianista","The Pianist","2002","2002-10-25","Biography",150,"UK, France, Poland, Germany, USA","English, German, Russian","Roman Polanski","Ronald Harwood, Wladyslaw Szpilman","R.P. Productions","Adrien Brody, Emilia Fox, Michal Zebrowski, Ed Stoppard, Maureen Lipman, Frank Finlay, Jessica Kate Meyer, Julia Rayner, Wanja Mues, Richard Ridings, Nomi Sharron, Anthony Milner, Lucy Skeaping, Roddy Skeaping, Ben Harlan","A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.","8,5",707942,"$ 35000000","$ 32572577","$ 120072577",85,937,157
"38713","tt0258463","The Bourne Identity","The Bourne Identity","2002","2002-11-15","Action",119,"USA, Germany, Czech Republic, France","English, French, German, Dutch, Italian, Yoruba","Doug Liman","Tony Gilroy, W. Blake Herron","Universal Pictures","Matt Damon, Franka Potente, Chris Cooper, Clive Owen, Brian Cox, Adewale Akinnuoye-Agbaje, Gabriel Mann, Walton Goggins, Josh Hamilton, Julia Stiles, Orso Maria Guerrini, Tim Dutton, Denis Braccini, Nicky Naudé, David Selburg","A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.","7,9",499095,"$ 60000000","$ 121661683","$ 214034224",68,915,249
"38803","tt0260414","A torto o a ragione","Taking Sides","2001","2002-03-22","Drama",108,"France, UK, Germany, Austria","English, Russian, French, German","István Szabó","Ronald Harwood, Ronald Harwood","Paladin Production S.A.","Harvey Keitel, Stellan Skarsgård, Moritz Bleibtreu, Birgit Minichmayr, Ulrich Tukur, Oleg Tabakov, Hanns Zischler, Armin Rohde, R. Lee Ermey, August Zirner, Daniel White, Thomas Thieme, Jed Curtis, Garrick Hagon, Robin Renucci","After the end of World War II, a famous German conductor is accused of loyalty to the Nazi regime. He argues that art and politics are separate. An investigator thinks otherwise.","7,1",3135,"$ 20000000","$ 188952","$ 422832",61,40,40
"38870","tt0261804","Be.Angeled","Be.Angeled","2001","2001-06-14","Drama",102,"Germany","German, English, French","Roman Kuhn","Regine Bielefeldt","Lounge Entertainment GmbH","Sólveig Arnarsdóttir, Anatole Taubman, Martin Glade, In-Sook Chappell, Marius Frey, Ona Lu Yenke, Holger Franke, Wiebke Bachmann, Joanne Grant, Lexy, Mark Spoon, Kathrin Kühnel, Kirk Kirchberger, Sebastian Songin, Anne Sarah Hartung","Two days in the life of several visitors of Berlin's Love Parade.","5,2",132,"$ 9750000","","",NA,1,4
"38983","tt0263734","Men with Brooms","Men with Brooms","2002","2002-11-22","Comedy",102,"Canada","English, American Sign Language, German","Paul Gross","Paul Gross, Graham Wagner","Serendipity Point Films","James B. Douglas, Molly Parker, Paul Gross, Barbara Gordon, Michelle Nolden, Connor Price, Stan Coles, James Allodi, Darryl Casselman, Mike 'Nug' Nahrgang, Jed Rees, Jane Spidell, Polly Shannon, Peter Outerbridge, Kari Matchett","Four men take time from their personal problems to reunite as a curling team and compete in a bonspiel that will restore their honour.","5,7",4208,"$ 7500000","$ 4245870","$ 4245870",NA,87,9
"39059","tt0265104","La stirpe","The Breed","2001","2001-07-19","Action",91,"USA, Hungary","English, German","Michael Oblowitz","Christos N. Gage, Ruth Fletcher","Motion Picture Corporation of America (MPCA)","Adrian Paul, Bokeem Woodbine, Bai Ling, Péter Halász, James Booth, Ming Lo, Paul Collins, Debbie Javor, Reed Diamond, John Durbin, Zen Gesner, István Göz, William Hootkins, Brandy Miller, Donte Calarco","In the distant future vampires have come out of the shadows and tried to live among people as a special and peaceful breed. When a series of murders happens, a cop and his vampire colleague...","4,8",2554,"$ 4000000","","",NA,75,25
"39098","tt0265651","Il gioco di Ripley","Ripley's Game","2002","2003-02-07","Crime",110,"UK, Italy, USA","English, German, Italian","Liliana Cavani","Charles McKeown, Liliana Cavani","Baby Films","Ray Winstone, John Malkovich, Uwe Mansshardt, Hanns Zischler, Paolo Paoloni, Maurizio Lucà, Dougray Scott, Evelina Meghnagi, Chiara Caselli, Lena Headey, Sam Blitz, Emidio La Vella, Lutz Winde, Nikolaus Dutsch, Wilfried Zander","A dying family man in need of money is persuaded to assassinate a European crime boss.","6,6",17037,"$ 30000000","","$ 6200970",NA,114,59
"39173","tt0266987","Spy Game","Spy Game","2001","2001-12-14","Action",126,"USA, Germany, Japan, France","English, German, Arabic, French, Cantonese","Tony Scott","Michael Frost Beckner, Michael Frost Beckner","Universal Pictures","Robert Redford, Brad Pitt, Catherine McCormack, Stephen Dillane, Larry Bryggman, Marianne Jean-Baptiste, Matthew Marsh, Todd Boyce, Michael Paul Chan, Garrick Hagon, Andrew Grainger, Bill Buell, Colin Stinton, Ted Maynard, Tom Hodgkins","Retiring CIA agent Nathan Muir recalls his training of Tom Bishop while working against agency politics to free him from his Chinese captors.","7,1",142632,"$ 115000000","$ 62362560","$ 143049560",63,392,94
"39262","tt0268690","13 variazioni sul tema","Thirteen Conversations About One Thing","2001","2002-03-29","Drama",104,"USA","English, German, Italian","Jill Sprecher","Karen Sprecher, Jill Sprecher","Stonelock Pictures","Matthew McConaughey, David Connolly, Joseph Siravo, A.D. Miles, Sig Libowitz, James Yaegashi, Dion Graham, Fernando López, Brian Smiar, Paul Austin, Allie Woods Jr., John Turturro, Amy Irving, Barbara Sukowa, Rob McElhenney","In New York City, the lives of a lawyer, an actuary, a house-cleaner, a professor and the people around them intersect as they ponder order and happiness in the face of life's cold unpredictability.","7",9372,"$ 4500000","$ 3288164","$ 3706652",74,115,81
"39503","tt0273435","Ararat","Ararat","2002","2003-04-25","Drama",115,"Canada, France","English, Armenian, French, German, Turkish","Atom Egoyan","Atom Egoyan","Alliance Atlantis Communications","Simon Abkarian, Charles Aznavour, Christopher Plummer, Arsinée Khanjian, Setta Keshishian, David Alpay, Shant Srabian, Marie-Josée Croze, Elias Koteas, Brent Carver, Max Morrow, Christie MacFadyen, Dawn Roach, Garen Boyajian, Lousnak Abdalian","Interrogated by a customs officer, a young man recounts how his life was changed during the making of a film about the Armenian genocide.","6,3",11239,"$ 15500000","$ 1555959","$ 2743336",62,178,71
"39777","tt0278500","L'importanza di chiamarsi Ernest","The Importance of Being Earnest","2002","2003-02-07","Comedy",97,"UK, USA","English, German","Oliver Parker","Oscar Wilde, Oliver Parker","Miramax","Rupert Everett, Colin Firth, Frances O'Connor, Reese Witherspoon, Judi Dench, Tom Wilkinson, Anna Massey, Edward Fox, Patrick Godfrey, Charles Kay, Cyril Shaps, Marsha Fitzalan, Finty Williams, Guy Bensley, Christina Robert","In 1890s London, two friends use the same pseudonym (""Ernest"") for their on-the-sly activities. Hilarity ensues.","6,8",21863,"$ 15000000","$ 8384929","$ 18009625",60,152,107
"39806","tt0279074","EvenHand","EvenHand","2002","2002-11-14","Drama",92,"USA","English, German","Joseph Pierson","Mike Jones","Cypress Films (I)","Bill Sage, Bill Dawes, Lawrence Stringer, Lee Stringer, Io Tillett Wright, Mirelly Taylor, Irene Pena, Héctor García, Kelley West, Eduardo Cavazos Garza, Greg Bransom, Earley B. Teal, Bena Kratochvil, Alsada Richardson, William Luke","Set in a dirt-poor neighborhood in the fictional city of San Lovisa, Texas, EvenHand tells the story of two very different cops, working together for the first time. Rob Francis, recently ...","7,2",451,"$ 500000","","",NA,22,5
"39969","tt0281322","Undisputed","Undisputed","2002","2002-08-23","Action",96,"USA, Germany, Japan","English, German","Walter Hill","David Giler, Walter Hill","A Band Apart","Wesley Snipes, Ving Rhames, Peter Falk, Michael Rooker, Jon Seda, Wes Studi, Fisher Stevens, Dayton Callie, Amy Aquino, Johnny Williams, Joe D'Angerio, Nils Allen Stewart, Denis Arndt, Jim Lampley, Ed Lover","When heavyweight champion George ""Iceman"" Chambers lands in prison, the resident gangster arranges a boxing match with the reigning prison champ.","6,2",28480,"$ 20000000","$ 12764657","$ 14946150",58,93,77
"39982","tt0281686","Bubba Ho-tep - Il re è qui","Bubba Ho-Tep","2002","2003-10-10","Comedy",92,"USA","English, German","Don Coscarelli","Joe R. Lansdale, Don Coscarelli","Silver Sphere Corporation","Bruce Campbell, Ossie Davis, Ella Joyce, Heidi Marnhout, Bob Ivy, Edith Jefferson, Larry Pennell, Reggie Bannister, Daniel Roebuck, Daniel Schweiger, Harrison Young, Linda Flammer, Cean Okada, Solange Morand, Karen Placencia","Elvis Presley and a black ""JFK"" stay in a nursing home where nothing happens - until a wayward Egyptian mummy comes and sucks out the old people's souls thru their a-holes. The two decide to fight back.","7",44997,"$ 1000000","$ 1239183","$ 1239183",57,388,157
"40092","tt0283160","Sfida nell'ultima valanga","Extreme Ops","2002","2003-03-13","Action",93,"UK, Germany, Luxembourg","English, German, Japanese, Serbo-Croatian","Christian Duguay","Timothy Scott Bogart, Mark Mullin","Centurion","Devon Sawa, Bridgette Wilson-Sampras, Rupert Graves, Rufus Sewell, Heino Ferch, Joe Absolom, Jana Pallaske, Jean-Pierre Castaldi, Liliana Komorowska, Klaus Löwitsch, David Scheller, Detlef Bothe, Heinrich Schmieder, Franjo Marincic, Rade Radovic","While filming an advertisement, some extreme sports enthusiasts unwittingly stop a group of terrorists.","4,5",5302,"$ 40000000","$ 4842259","$ 10959475",17,83,55
"40532","tt0290334","X-Men 2","X2","2003","2003-04-30","Action",134,"Canada, USA","English, German, Italian, Spanish","Bryan Singer","Zak Penn, David Hayter","Twentieth Century Fox","Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden, Anna Paquin, Rebecca Romijn, Brian Cox, Alan Cumming, Bruce Davison, Aaron Stanford, Shawn Ashmore, Kelly Hu, Katie Stuart","When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him.","7,4",504086,"$ 110000000","$ 214949694","$ 407711549",68,1104,166
"40566","tt0290916","Baciate chi vi pare","Embrassez qui vous voudrez","2002","2002-10-31","Comedy",103,"France, UK, Italy","French, English, German, Italian","Michel Blanc","Michel Blanc, Joseph Connolly","Union Générale Cinématographique (UGC)","Charlotte Rampling, Jacques Dutronc, Carole Bouquet, Michel Blanc, Karin Viard, Denis Podalydès, Clotilde Courau, Vincent Elbaz, Lou Doillon, Sami Bouajila, Gaspard Ulliel, Mélanie Laurent, Matthieu Boujenah, Mickaël Dolmen, Barbara Kelsch","Two couple of friends, one very rich the other almost homeless, decides to go on Holiday. Julie, a single mother, joins them too. Once at seaside, it starts a complicate love cross among ...","6,5",2356,"$ 11000000","","$ 8738101",NA,15,13
"40607","tt0291400","Monsieur Batignole","Monsieur Batignole","2002","2002-10-04","Comedy",100,"France","French, German","Gérard Jugnot","Gérard Jugnot, Philippe Lopes-Curval","RF2K Productions","Jules Sitruk, Gérard Jugnot, Michèle Garcia, Jean-Paul Rouve, Alexia Portal, Violette Blanckaert, Daphné Baiwir, Götz Burger, Élisabeth Commelin, Hubert Saint-Macary, Daniel Martin, Nadine Spinoza, Damien Jouillerot, Philippe du Janerand, Marie-Gaëlle Cals","In 1942, in an occupied Paris, the apolitical grocer Edmond Batignole lives with his wife and daughter in a small apartment in the building of his grocery. When his future son-in-law and ...","7",3098,"$ 8000000","","$ 9502387",NA,13,15
"40686","tt0292644","Le regole dell'attrazione","The Rules of Attraction","2002","2004-03-19","Comedy",110,"USA, Germany","English, German","Roger Avary","Bret Easton Ellis, Roger Avary","Kingsgate Films","James Van Der Beek, Shannyn Sossamon, Jessica Biel, Kip Pardue, Kate Bosworth, Ian Somerhalder, Joel Michaely, Jay Baruchel, Thomas Ian Nicholas, Clifton Collins Jr., Clare Kramer, Faye Dunaway, Swoosie Kurtz, Russell Sams, Colin Bain","The incredibly spoiled and overprivileged students of Camden College are a backdrop for an unusual love triangle between a drug dealer, a virgin and a bisexual classmate.","6,7",48968,"$ 4000000","$ 6532619","$ 11832822",50,417,141
"40725","tt0293416","Metropolis","Metoroporisu","2001","2002-06-21","Animation",108,"Japan","Japanese, French, German, Italian, Spanish, English, Russian","Rintaro","Osamu Tezuka, Katsuhiro Ôtomo","Bandai Visual Company","Yuka Imoto, Kei Kobayashi, Kôki Okada, Tarô Ishida, Kôsei Tomita, Norio Wakamoto, Junpei Takiguchi, Takeshi Aono, Masaru Ikeda, Shun Yashiro, Toshio Furukawa, Shigeru Chiba, Masashi Ebara, Takaya Hashi, Norihiro Inoue","Kenichi and his uncle Shunsaku Ban must find the mystery behind robot girl Tima.","7,2",19896,"$ 15000000","$ 722932","$ 4035192",75,127,92
"40782","tt0294357","Beyond Borders - Amore senza confini","Beyond Borders","2003","2004-02-06","Adventure",127,"Germany, USA","English, Amharic, Khmer, German, Chechen","Martin Campbell","Caspian Tredwell-Owen","Mandalay Pictures","Angelina Jolie, Clive Owen, Teri Polo, Linus Roache, Noah Emmerich, Yorick van Wageningen, Timothy West, Kate Trotter, Jonathan Higgins, John Gausden, Isabelle Horler, Iain Lee, Keelan Anthony, John Bourgeois, Kalyane Tea","The world's cruelty is confronted with the love of two different people who tries to save mankind from poverty and war.","6,5",25949,"$ 35000000","$ 4430101","$ 11705002",32,158,53
